ID Donatur,recency,frequency,monetary,last_date,last_nominal,program,cara_bayar,monetary_log,cluster,churn,segmen,prob_churn,prediksi
DAD-00234,649,12,1300000.0,2024-03-22,50000.0,Wakaf Qur'an,Transfer,14.077875591662238,2,0,Tidak Churn,0.0002763038,0
DAD-00235,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00236,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00237,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00238,1401,2,300000.0,2022-03-01,150000.0,Wakaf Qur'an,Transfer,12.611541086966115,2,0,Tidak Churn,2.294864e-06,0
DAD-00239,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00240,1401,2,76000.0,2022-03-01,38000.0,Wakaf Qur'an,Transfer,11.23850177707664,2,0,Tidak Churn,7.649987e-06,0
DAD-00241,1401,2,200000.0,2022-03-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00242,918,3,470000.0,2023-06-27,270000.0,Wakaf Qur'an,Transfer,13.060490101343552,2,0,Tidak Churn,1.4034136e-06,0
DAD-00243,644,3,150000.0,2024-03-27,50000.0,Wakaf Qur'an,Transfer,11.918397239722838,1,1,Berpotensi Churn,0.99955827,1
DAD-00244,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00245,1279,4,300000.0,2022-07-01,100000.0,Becare Food,Transfer,12.611541086966115,2,0,Tidak Churn,1.6987844e-06,0
DAD-00246,1401,2,400000.0,2022-03-01,200000.0,Wakaf Qur'an,Transfer,12.899222326086994,2,0,Tidak Churn,2.1780324e-06,0
